代號,名稱,年度,季別,除息交易日,收益分配基準日,收益分配發放日,收益分配金額 (每1受益權益單位),收益分配標準 (102年度起啟用),公告年度
0054,元大台商50,108,M11,109年11月20日,109年11月28日,109年12月21日,0.75,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣25元。",109
0054,元大台商50,108,M11,108年11月22日,108年11月30日,108年12月23日,0.75,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣25元。",108
0055,元大MSCI金融,108,M11,108年11月22日,108年11月30日,108年12月23日,0.7,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣15元。",108
0055,元大MSCI金融,108,M11,109年11月20日,109年11月28日,109年12月21日,0.65,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣15元。",109
0056,元大高股息,108,M10,108年10月23日,108年10月29日,108年11月26日,1.8,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。本款有關本基金每受益權單位之發行價格為新臺幣25元。",108
0056,元大高股息,108,M10,109年10月28日,109年11月03日,109年12月01日,1.6,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣25元。",109
006203,元大MSCI台灣,108,M07,109年07月21日,109年07月27日,109年08月19日,0.28,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位之可分配收益，係指以本基金每受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣30元。",109
006203,元大MSCI台灣,108,M01,109年01月31日,109年02月08日,109年03月03日,1.4,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位之可分配收益，係指以本基金每受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",109
006203,元大MSCI台灣,108,M01,108年01月22日,108年01月28日,108年03月08日,0.85,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位之可分配收益，係指以本基金每受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",108
006203,元大MSCI台灣,108,M07,108年07月19日,108年07月27日,108年08月19日,0.4,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位之可分配收益，係指以本基金每受益權單位投資所得之現金股利及本基金因出借股票而由借券人返還之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第二項所列本基金每受益權單位之發行價格。
前款有關本基金成立日前(不含當日)每受益權單位之發行價格為新臺幣30元。",108
006204,永豐臺灣加權,108,M10,109年10月23日,109年10月31日,109年11月23日,0.76,經理公司應於收益評價日（即每年九月三十日，如該日為非營業日則延至次一營業日）檢視自成立日起至該收益評價日止本基金之累計報酬率與標的指數累計報酬率之差額，如本基金之累計報酬率大於標的指數累計報酬率達百分之一以上者（以下簡稱收益分配標準），經理公司應對受益人為收益分配。前述規定每受益權單位應分配之收益為依本基金累計報酬率扣減標的指數累計報酬率及扣減保留率後乘以成立日每受益權單位淨資產價值。前述保留率包括指數編制下所造成的短暫性超越績效部分及自本次收益評價日至下次之收益評價日間之預估總費用率，並以百分之一為限。,109
006204,永豐臺灣加權,108,M10,108年10月29日,108年11月04日,108年11月27日,1.52,經理公司應於收益評價日（即每年九月三十日，如該日為非營業日則延至次一營業日）檢視自成立日起至該收益評價日止本基金之累計報酬率與標的指數累計報酬率之差額，如本基金之累計報酬率大於標的指數累計報酬率達百分之一以上者（以下簡稱收益分配標準），經理公司應對受益人為收益分配。前述規定每受益權單位應分配之收益為依本基金累計報酬率扣減標的指數累計報酬率及扣減保留率後乘以成立日每受益權單位淨資產價值。前述保留率包括指數編制下所造成的短暫性超越績效部分及自本次收益評價日至下次之收益評價日間之預估總費用率，並以百分之一為限。,108
006208,富邦台50,108,M07,109年07月21日,109年07月27日,109年08月27日,0.481,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",109
006208,富邦台50,108,M11,109年11月17日,109年11月23日,109年12月18日,1.139,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",109
006208,富邦台50,108,M11,108年11月20日,108年11月26日,108年12月30日,1.138,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",108
006208,富邦台50,108,M07,108年07月18日,108年07月24日,108年08月27日,0.661,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所得之已發放現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息所得、租賃所得、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。",108
00660,元大歐洲50,108,M10,109年10月28日,109年11月03日,109年11月26日,0.36,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外所得之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資於中華民國境外所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格。
前述有關本基金成立日前(不含當日)，每受益權單位之發行價格為新臺幣20元。",109
00660,元大歐洲50,108,M10,108年10月23日,108年10月29日,108年11月21日,0.75,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具收益分配覆核報告後，始得分配：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資於中華民國境外所得之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資於中華民國境外所得之利息所得、已實現股票股利、租賃所得、已實現資本利得扣除資本損失（包括已實現及未實現之資本損失）及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金信託契約第五條第一項第二款所列本基金每受益權單位之發行價格。本款有關本基金每受益權單位之發行價格為新臺幣20元。",108
00690,兆豐藍籌30ETF,108,M11,108年11月28日,108年12月04日,108年12月27日,1.12,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核簽證後，始得分配：
(一)本基金每受益權單位可分配之收益，係指以本基金投資所得之現金股利扣除本基金應負擔之費用後之可分配收益，且不需扣除已實現及未實現之資本損失；
(二)若其他投資所得之利息收入加計已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)後餘額為正數時，經理公司得於扣除本基金應負擔之費用後，決定併入可分配之收益金額。",108
00690,兆豐藍籌30ETF,108,M11,109年11月27日,109年12月05日,109年12月28日,0.84,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核簽證後，始得分配：
(一)本基金每受益權單位可分配之收益，係指以本基金投資所得之現金股利扣除本基金應負擔之費用後之可分配收益，且不需扣除已實現及未實現之資本損失；
(二)若其他投資所得之利息收入加計已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)後餘額為正數時，經理公司得於扣除本基金應負擔之費用後，決定併入可分配之收益金額。",109
00692,富邦公司治理,108,M07,109年07月21日,109年07月27日,109年08月27日,0.231,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所 得之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息收入、基金收益分配、可歸屬並開立憑單之其他收入、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",109
00692,富邦公司治理,108,M11,108年11月20日,108年11月26日,108年12月30日,0.53,"本基金可分配收益，除應符合下列規定外，並應經金管會核准辦理公開發行公司之簽證會計師查核出具查核簽證報告後，始得分配(倘可分配收益未涉及資本利得，得以簽證會計師出具覆核報告後進行分配)：
1.本基金每受益權單位可分配之收益，係指以本基金受益權單位投資所 得之現金股利扣除本基金應負擔之費用後之可分配收益且不需扣除已實現及未實現之資本損失；
2.前款可分配收益若另增配其他投資所得之利息收入、基金收益分配、可歸屬並開立憑單之其他收入、已實現資本利得扣除資本損失(包括已實現及未實現之資本損失)及本基金應負擔之費用時，則本基金於收益評價日之每受益權單位之淨資產價值應高於本基金成立日前(不含當日)每受益權單位之發行價格，且每受益權單位之淨資產價值減去當年度每受益權單位可分配收益之餘額，不得低於本基金成立日前(不含當日)每受益權單位之發行價格。經理公司有權在上述條件範圍內調整可分配收益金額。",108
